movie title,rating,worldwide total gross,release date,runtime (mins),production budget,domestic total gross
Barney's Version (U.S. only),R,8455457,1/14/11 0:00,132,30000000,4439201
Barnyard: The Original Party Animals,PG,116476887,8/4/06 0:00,83,51000000,72637803
Basic Instinct,R,352927224,3/20/92 0:00,123,49000000,117727224
Batman,PG-13,411348924,6/23/89 0:00,126,35000000,251188924
Batman and Robin,PG-13,238207122,6/20/97 0:00,125,125000000,107325195
Batman Begins,PG-13,374218673,6/15/05 0:00,140,150000000,205343774
Batman Forever,PG-13,336529144,6/16/95 0:00,122,100000000,184031112
Batman Returns,PG-13,266822354,6/19/92 0:00,126,80000000,162831698
Batman v Superman: Dawn of Justice,PG-13,829980143,3/25/16 0:00,151,250000000,311980143
Bats,PG-13,N/A,10/22/99 0:00,91,5250000,10155690
Battle of the Year,PG-13,16549477,9/20/13 0:00,109,20000000,8888355
Battle: Los Angeles,PG-13,211819354,3/11/11 0:00,116,70000000,83552429
Battlefield Earth,PG-13,29725663,5/12/00 0:00,117,73000000,21471685
Battleship,PG-13,303025485,5/18/12 0:00,131,209000000,65422625
The Jungle Book (2016),PG,314184975,4/15/16 0:00,105,175000000,110284975
Be Cool,PG-13,95226116,3/4/05 0:00,104,53000000,56046979
The Beach,R,144056873,2/11/00 0:00,119,50000000,39785027
Bean,PG-13,251212670,10/17/97 0:00,90,18000000,45319423
Beastly,PG-13,43165571,3/4/11 0:00,95,17000000,27865571
Beautiful Creatures (2013),PG-13,60052138,2/14/13 0:00,132,60000000,19452138
A Beautiful Mind,PG-13,313542341,12/21/01 0:00,136,58000000,170742341
Beauty and the Beast,G,424967620,11/15/91 0:00,84,25000000,145863363
The Beaver,PG-13,6370816,5/6/11 0:00,91,21000000,970816
Beavis and Butt-Head Do America,PG-13,N/A,12/20/96 0:00,80,12000000,63118386
Because of Winn-Dixie,PG,33589427,2/18/05 0:00,106,14000000,32647042
Bedazzled (2000),PG-13,90383208,10/20/00 0:00,93,48000000,37886980
Bedtime Stories,PG,212874442,12/25/08 0:00,95,80000000,110101975
Bee Movie,PG,287594577,11/2/07 0:00,90,150000000,126631277
Bee Season,PG-13,6856989,11/11/05 0:00,105,14000000,1180560
Before Sunrise,R,N/A,1/27/95 0:00,101,2500000,5535405
Before Sunset,R,15992615,7/2/04 0:00,80,2700000,5820649
Beginners,R,14311701,6/3/11 0:00,104,3200000,5790894
Behind Enemy Lines,PG-13,91753202,11/30/01 0:00,108,40000000,58856790
Being Human,PG-13,N/A,5/6/94 0:00,122,40000000,1519366
Being John Malkovich,R,22863596,10/29/99 0:00,113,13000000,22863596
Believe,PG,6206566,12/25/13 0:00,91,5000000,6206566
The Believer,R,416925,5/17/02 0:00,100,1500000,416925
Bella,PG-13,12083296,10/26/07 0:00,91,3300000,8070537
Beloved,R,N/A,10/16/98 0:00,172,80000000,22852487
Ben-Hur,G,N/A,11/18/59 0:00,212,15000000,74000000
The Benchwarmers,PG-13,64957291,4/7/06 0:00,90,33000000,59843754
Beowulf,PG-13,196393745,11/16/07 0:00,113,150000000,82280579
The Best Exotic Marigold Hotel,PG-13,136836156,5/4/12 0:00,118,10000000,46412041
Best in Show,PG-13,20789556,9/29/00 0:00,90,10000000,18715392
Best Laid Plans,R,N/A,9/10/99 0:00,92,7000000,27816
The Best Man,R,34573780,10/22/99 0:00,121,9000000,34102780
The Best Man Holiday,R,72835710,11/15/13 0:00,122,17000000,70525195
The Best of Me,PG-13,35926213,10/17/14 0:00,117,26000000,26766213
A Better Life,PG-13,1759252,6/24/11 0:00,97,10000000,1759252
Better Luck Tomorrow,R,3809226,4/11/03 0:00,98,250000,3802390
Beverly Hills Cop III,R,119208989,5/25/94 0:00,105,50000000,42614912
Bewitched,PG-13,131426169,6/24/05 0:00,90,85000000,63313159
Beyond Borders,R,11705002,10/24/03 0:00,127,35000000,4430101
Beyond the Lights,PG-13,N/A,11/14/14 0:00,116,7000000,14618727
The Jungle Book (2016),PG,314184975,4/15/16 0:00,105,175000000,110284975
Bicentennial Man,PG,87423861,12/17/99 0:00,131,100000000,58223861
Big Daddy,PG-13,234801895,6/25/99 0:00,93,34200000,163479795
Big Fat Liar,PG,52970014,2/8/02 0:00,87,15000000,48360547
